"","name","label","concept","desc"
"1","B24011_001","Estimate!!Total","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Total"
"2","B24011_002","Estimate!!Total!!Management business science and arts occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Management business science and arts occupations"
"3","B24011_003","Estimate!!Total!!Management business science and arts occupations!!Management business and financial occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Management business and financial occupations"
"4","B24011_004","Estimate!!Total!!Management business science and arts occupations!!Management business and financial occupations!!Management occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Management occupations"
"5","B24011_005","Estimate!!Total!!Management business science and arts occupations!!Management business and financial occupations!!Business and financial operations occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Business and financial operations occupations"
"6","B24011_006","Estimate!!Total!!Management business science and arts occupations!!Computer engineering and science occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Computer engineering and science occupations"
"7","B24011_007","Estimate!!Total!!Management business science and arts occupations!!Computer engineering and science occupations!!Computer and mathematical occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Computer and mathematical occupations"
"8","B24011_008","Estimate!!Total!!Management business science and arts occupations!!Computer engineering and science occupations!!Architecture and engineering occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Architecture and engineering occupations"
"9","B24011_009","Estimate!!Total!!Management business science and arts occupations!!Computer engineering and science occupations!!Life physical and social science occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Life physical and social science occupations"
"10","B24011_010","Estimate!!Total!!Management business science and arts occupations!!Education legal community service arts and media occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Education legal community service arts and media occupations"
